App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
War Dragons,Others,3.9,160604,270,10000000,Free,0,Everyone,Yes,Yes,Yes
CV-Library Job Search,BUSINESS,4.4,,46,100000,Free,0,Everyone,No,No,No
Surah Al-Waqiah,BOOKS_AND_REFERENCE,,1201,29,100000,Free,0,Everyone,Yes,No,No
Ay,Others,2.5,11,36,5000,Free,0,Teen,Yes,No,No
EA Plus,Others,,12,12,1000,Free,0,Everyone,No,No,No
Bt Notifier -Smartwatch notice,TOOLS,2.8,632,82,500000,Free,0,Everyone,No,No,No
SAMURAI vs ZOMBIES DEFENSE,GAME,4.5,312204,19,5000000,Free,0,Everyone,Yes,Yes,No
EM Launcher Pro,PERSONALIZATION,4.2,35,0.024,1000,Paid,3.99,Everyone,No,No,No
Draw In,GAME,4.2,46416,73,10000000,Free,0,Everyone,Yes,Yes,No
PUBG MOBILE LITE,Others,4.2,312204,270,19970000,Free,0,Teen,Yes,No,Yes
Fernanfloo,GAME,4.8,312204,49,10000000,Free,0,Everyone 10+,Yes,Yes,No
GUN ZOMBIE,GAME,4.4,243121,38,5000000,Free,0,Teen,Yes,Yes,No
Connect'Em Halloween,FAMILY,4.5,6673,44,500000,Free,0,Everyone,Yes,No,No
Happy Birthday Songs Offline,Others,4.4,464,89,100000,Free,0,Everyone,Yes,No,No
Chelsea FC Official Keyboard,PRODUCTIVITY,4.5,91397,14,1000000,Free,0,Everyone,Yes,No,No
DC HSEMA,BOOKS_AND_REFERENCE,3.8,38,72,5000,Free,0,Everyone,No,No,No
Tap N Pay,PRODUCTIVITY,4.4,253,82,10000,Free,0,Everyone,No,No,No
Tech CU Card Manager,FINANCE,1,2,72,1000,Free,0,Everyone,No,No,No
H-Kakashi - theme Xperia™,PERSONALIZATION,4.6,621,54,50000,Free,0,Everyone,No,No,No
"Calculator - free calculator ,multi calculator app",TOOLS,4.4,1236,58,100000,Free,0,Everyone,Yes,No,No
Gun Strike Shoot,GAME,4.1,94761,17,10000000,Free,0,Teen,Yes,No,No
SINoALICE ,Others,4.1,85182,270,1000000,Free,0,Mature 17+,No,Yes,Yes
NetClient CS,BUSINESS,3.5,125,43,10000,Free,0,Everyone,No,No,No
Tour BD (Bahir Dar Map),Others,4.9,49,39,100,Free,0,Everyone,Yes,No,No
Poka mon GO,GAME,4.1,312204,85,19970000,Free,0,Everyone,No,Yes,Yes
JOBS.bg,BUSINESS,4.4,1630,22,100000,Free,0,Everyone,Yes,No,No
BTFIT: Online Personal Trainer - Fitness Class,HEALTH_AND_FITNESS,3.9,11372,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Last Shelter: Survival,GAME,4.4,93033,98,5000000,Free,0,Teen,No,Yes,Yes
Video Downloader for Facebook,TOOLS,4.6,312204,31,19970000,Free,0,Teen,Yes,Yes,No
BC Pizza,LIFESTYLE,2.3,3,26,500,Free,0,Everyone,No,No,No
U get - Wireless Speed Test,TOOLS,4.2,26,22,5000,Free,0,Everyone,No,No,No
Self-help Anxiety Management,HEALTH_AND_FITNESS,4,2894,23,500000,Free,0,Everyone 10+,No,No,No
